Timestamp,Label,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR
2025-02-26 01:53:05.169138,sleep,9.662998,1.61848,-1.338359,-0.055424,0.025314,-0.015188,51523
2025-02-26 01:53:05.169138,sleep,9.651027,1.644817,-1.343147,-0.053825,0.023982,-0.014655,51623
2025-02-26 01:53:05.169138,sleep,9.667787,1.620875,-1.340753,-0.055158,0.020784,-0.014922,51500
2025-02-26 01:53:05.169138,sleep,9.655815,1.651999,-1.319205,-0.055691,0.022116,-0.015455,51447
2025-02-26 01:53:05.169138,sleep,9.651027,1.623269,-1.35033,-0.055158,0.024515,-0.014123,51538
2025-02-26 01:53:05.169138,sleep,9.655815,1.637634,-1.343147,-0.052493,0.024781,-0.013856,51480
2025-02-26 01:53:05.169138,sleep,9.639056,1.640028,-1.367089,-0.053559,0.019452,-0.015455,51399
2025-02-26 01:53:05.169138,sleep,9.646238,1.637634,-1.328782,-0.054891,0.024781,-0.01359,51374
2025-02-26 01:53:05.169138,sleep,9.653421,1.599327,-1.347936,-0.052493,0.028778,-0.014655,51334
2025-02-26 01:53:05.169138,sleep,9.65821,1.644817,-1.347936,-0.053559,0.020518,-0.015455,51306
2025-02-26 01:53:05.169138,sleep,9.64145,1.632846,-1.355118,-0.054358,0.019185,-0.015721,51273
2025-02-26 01:53:05.169138,sleep,9.648633,1.628057,-1.359907,-0.055158,0.025847,-0.014922,51273
2025-02-26 01:53:05.169138,sleep,9.651027,1.647211,-1.347936,-0.055158,0.025847,-0.015188,51223
2025-02-26 01:53:05.169138,sleep,9.662998,1.632846,-1.347936,-0.054092,0.024515,-0.014922,51155
2025-02-26 01:53:05.169138,sleep,9.662998,1.630451,-1.331176,-0.054891,0.022383,-0.014922,51090
2025-02-26 01:53:05.169138,sleep,9.653421,1.644817,-1.359907,-0.053825,0.024781,-0.015721,50989
2025-02-26 01:53:05.169138,sleep,9.646238,1.630451,-1.374272,-0.054358,0.022916,-0.015721,50860
2025-02-26 01:53:05.169138,sleep,9.660604,1.654393,-1.335965,-0.053559,0.020784,-0.015455,50867
2025-02-26 01:53:05.169138,sleep,9.643845,1.640028,-1.383849,-0.053026,0.023982,-0.014922,50822
2025-02-26 01:53:05.169138,sleep,9.653421,1.651999,-1.362301,-0.054092,0.023982,-0.014655,50809
2025-02-26 01:53:05.169138,sleep,9.660604,1.632846,-1.367089,-0.053292,0.023449,-0.015721,50829
2025-02-26 01:53:05.169138,sleep,9.662998,1.632846,-1.362301,-0.053026,0.024515,-0.014389,50811
2025-02-26 01:53:05.169138,sleep,9.636662,1.630451,-1.391031,-0.054358,0.024248,-0.014655,50819
2025-02-26 01:53:05.169138,sleep,9.65821,1.642422,-1.331176,-0.053825,0.024515,-0.015188,50754
2025-02-26 01:53:05.169138,sleep,9.672575,1.649605,-1.347936,-0.054092,0.023982,-0.015721,50735
2025-02-26 01:53:05.169138,sleep,9.665392,1.632846,-1.359907,-0.053559,0.02185,-0.014655,50729
2025-02-26 01:53:05.169138,sleep,9.653421,1.630451,-1.374272,-0.054092,0.02185,-0.014123,50750
2025-02-26 01:53:05.169138,sleep,9.646238,1.642422,-1.371878,-0.053825,0.023715,-0.013856,50776
2025-02-26 01:53:05.169138,sleep,9.651027,1.630451,-1.359907,-0.055158,0.024515,-0.013856,50718
2025-02-26 01:53:05.169138,sleep,9.643845,1.649605,-1.35033,-0.056224,0.023449,-0.014389,50649
2025-02-26 01:53:05.169138,sleep,9.667787,1.630451,-1.347936,-0.053292,0.022649,-0.014389,50612
2025-02-26 01:53:05.169138,sleep,9.65821,1.647211,-1.340753,-0.053559,0.022916,-0.014389,50629
2025-02-26 01:53:05.169138,sleep,9.655815,1.640028,-1.35033,-0.054625,0.024781,-0.013856,50615
2025-02-26 01:53:05.169138,sleep,9.653421,1.644817,-1.359907,-0.055158,0.023449,-0.014655,50678
2025-02-26 01:53:05.169138,sleep,9.655815,1.649605,-1.367089,-0.055158,0.022116,-0.014123,50632
2025-02-26 01:53:05.169138,sleep,9.665392,1.651999,-1.343147,-0.054092,0.023449,-0.013856,50618
2025-02-26 01:53:05.169138,sleep,9.67018,1.628057,-1.355118,-0.055424,0.025847,-0.01279,50657
2025-02-26 01:53:05.169138,sleep,9.653421,1.640028,-1.323994,-0.055158,0.026913,-0.013057,50665
2025-02-26 01:53:05.169138,sleep,9.651027,1.630451,-1.352724,-0.055957,0.024781,-0.013856,50670
2025-02-26 01:53:05.169138,sleep,9.660604,1.628057,-1.343147,-0.054891,0.023715,-0.014655,50665
2025-02-26 01:53:05.169138,sleep,9.665392,1.644817,-1.323994,-0.053825,0.020518,-0.014123,50650
2025-02-26 01:53:05.169138,sleep,9.64145,1.637634,-1.326388,-0.05276,0.017054,-0.015721,50658
2025-02-26 01:53:05.169138,sleep,9.646238,1.640028,-1.362301,-0.053559,0.018386,-0.014655,50654
2025-02-26 01:53:05.169138,sleep,9.682152,1.640028,-1.391031,-0.054891,0.02638,-0.014389,50744
2025-02-26 01:53:05.169138,sleep,9.682152,1.637634,-1.347936,-0.05649,0.027712,-0.015455,50674
2025-02-26 01:53:05.169138,sleep,9.655815,1.625663,-1.338359,-0.055158,0.019185,-0.018119,50597
2025-02-26 01:53:05.169138,sleep,9.667787,1.649605,-1.374272,-0.055424,0.01359,-0.018386,50548
2025-02-26 01:53:05.169138,sleep,9.651027,1.637634,-1.367089,-0.054891,0.015721,-0.016521,50575
2025-02-26 01:53:05.169138,sleep,9.655815,1.628057,-1.381454,-0.055957,0.021317,-0.016521,50521
2025-02-26 01:53:05.169138,sleep,9.631873,1.661576,-1.352724,-0.054891,0.023449,-0.015721,50486
2025-02-26 01:53:05.169138,sleep,9.648633,1.628057,-1.388637,-0.054891,0.023982,-0.014389,50473
2025-02-26 01:53:05.169138,sleep,9.64145,1.642422,-1.362301,-0.054358,0.026113,-0.013057,50456
2025-02-26 01:53:05.169138,sleep,9.653421,1.632846,-1.331176,-0.053559,0.024248,-0.013323,50430
2025-02-26 01:53:05.169138,sleep,9.68694,1.649605,-1.359907,-0.055957,0.022116,-0.01359,50444
2025-02-26 01:53:05.169138,sleep,9.643845,1.640028,-1.369483,-0.054625,0.022649,-0.014655,50376
2025-02-26 01:53:05.169138,sleep,9.636662,1.656788,-1.359907,-0.054358,0.023449,-0.014922,50403
2025-02-26 01:53:05.169138,sleep,9.660604,1.642422,-1.345541,-0.055424,0.02558,-0.014123,50484
2025-02-26 01:53:05.169138,sleep,9.662998,1.640028,-1.326388,-0.053825,0.023715,-0.015188,50384
2025-02-26 01:53:05.169138,sleep,9.648633,1.644817,-1.383849,-0.053825,0.019452,-0.01359,50348
2025-02-26 01:53:05.169138,sleep,9.646238,1.661576,-1.364695,-0.054358,0.024781,-0.013856,50394
2025-02-26 01:53:05.169138,sleep,9.655815,1.632846,-1.35033,-0.053026,0.02638,-0.015188,50326
2025-02-26 01:53:05.169138,sleep,9.655815,1.637634,-1.335965,-0.055691,0.022116,-0.014922,50314
2025-02-26 01:53:05.169138,sleep,9.651027,1.647211,-1.338359,-0.054358,0.023182,-0.013323,50284
2025-02-26 01:53:05.169138,sleep,9.651027,1.642422,-1.364695,-0.053825,0.025314,-0.014123,50274
2025-02-26 01:53:05.169138,sleep,9.653421,1.637634,-1.357512,-0.054891,0.024515,-0.014655,50283
2025-02-26 01:53:05.169138,sleep,9.672575,1.640028,-1.355118,-0.054092,0.024515,-0.015988,50314
