Timestamp,Label,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR
2025-02-26 00:12:40.347852,sleep,9.809045,1.096544,-1.144428,-0.054891,0.020784,-0.014922,113404
2025-02-26 00:12:40.347852,sleep,9.813833,1.091756,-1.161188,-0.055158,0.022383,-0.014922,113387
2025-02-26 00:12:40.347852,sleep,9.821015,1.106121,-1.177947,-0.055158,0.021583,-0.015188,113444
2025-02-26 00:12:40.347852,sleep,9.835381,1.106121,-1.158794,-0.054891,0.023182,-0.014655,113541
2025-02-26 00:12:40.347852,sleep,9.80665,1.09415,-1.16837,-0.054625,0.022116,-0.014922,113621
2025-02-26 00:12:40.347852,sleep,9.811439,1.089362,-1.165976,-0.055691,0.024781,-0.013856,113695
2025-02-26 00:12:40.347852,sleep,9.78989,1.103727,-1.163582,-0.055424,0.022383,-0.014655,113844
2025-02-26 00:12:40.347852,sleep,9.811439,1.108515,-1.182736,-0.055424,0.022383,-0.013856,113947
2025-02-26 00:12:40.347852,sleep,9.811439,1.09415,-1.175553,-0.055424,0.022116,-0.013856,114047
2025-02-26 00:12:40.347852,sleep,9.813833,1.09415,-1.170765,-0.054891,0.021317,-0.014123,114022
2025-02-26 00:12:40.347852,sleep,9.77792,1.096544,-1.180341,-0.055158,0.022916,-0.014655,114021
2025-02-26 00:12:40.347852,sleep,9.811439,1.089362,-1.204283,-0.055691,0.024781,-0.014389,114031
2025-02-26 00:12:40.347852,sleep,9.787497,1.103727,-1.130063,-0.055691,0.023982,-0.014655,114000
2025-02-26 00:12:40.347852,sleep,9.818622,1.089362,-1.154005,-0.055691,0.023449,-0.014123,114107
2025-02-26 00:12:40.347852,sleep,9.792285,1.091756,-1.154005,-0.055424,0.022116,-0.014655,114145
2025-02-26 00:12:40.347852,sleep,9.809045,1.113304,-1.201889,-0.055158,0.02185,-0.014389,114157
2025-02-26 00:12:40.347852,sleep,9.801862,1.101333,-1.194707,-0.054891,0.020251,-0.015188,114216
2025-02-26 00:12:40.347852,sleep,9.797073,1.113304,-1.170765,-0.055424,0.022916,-0.014922,114282
2025-02-26 00:12:40.347852,sleep,9.78989,1.11091,-1.149217,-0.055691,0.02185,-0.014655,114397
2025-02-26 00:12:40.347852,sleep,9.797073,1.077391,-1.163582,-0.055424,0.021317,-0.014922,114515
2025-02-26 00:12:40.347852,sleep,9.82341,1.079785,-1.192312,-0.055424,0.021317,-0.014922,114583
2025-02-26 00:12:40.347852,sleep,9.80665,1.079785,-1.18513,-0.055424,0.022916,-0.013856,114603
2025-02-26 00:12:40.347852,sleep,9.77792,1.096544,-1.156399,-0.055691,0.023182,-0.014123,114633
