Timestamp,Label,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR
2025-02-26 02:28:46.103367,sleep,8.961497,3.136404,-3.957615,0.029577,-0.710389,0.029311,108490
2025-02-26 02:28:46.103367,sleep,8.889671,3.093309,-4.103662,-0.037305,-0.20864,0.005862,108494
2025-02-26 02:28:46.103367,sleep,8.801085,3.169923,-3.940856,-0.097792,0.181994,-0.036772,108354
2025-02-26 02:28:46.103367,sleep,8.899248,3.095703,-3.854665,-0.149752,0.389568,-0.089265,108197
2025-02-26 02:28:46.103367,sleep,8.633492,3.102885,-3.473987,-0.179063,0.388502,-0.144423,108100
2025-02-26 02:28:46.103367,sleep,8.65025,3.29921,-3.308787,-0.172401,0.281118,-0.170003,108079
2025-02-26 02:28:46.103367,sleep,8.238448,3.057395,-2.978387,-0.1303,0.273391,-0.16574,108017
2025-02-26 02:28:46.103367,sleep,8.051701,3.13401,-2.94008,-0.079139,0.202511,-0.107118,107888
2025-02-26 02:28:46.103367,sleep,8.286332,3.20823,-2.999935,-0.021051,-0.084735,-0.039703,107621
2025-02-26 02:28:46.103367,sleep,8.561666,3.244143,-3.320758,-0.020251,-0.270992,-0.047963,107213
2025-02-26 02:28:46.103367,sleep,8.626308,3.272874,-3.41892,-0.026113,-0.401559,-0.083136,106931
2025-02-26 02:28:46.103367,sleep,8.391677,3.244143,-3.531447,-0.029311,-0.454851,-0.091397,106747
2025-02-26 02:28:46.103367,sleep,8.425196,3.229778,-3.684676,-0.03917,-0.350132,-0.080472,106791
2025-02-26 02:28:46.103367,sleep,8.504205,3.246537,-3.780444,-0.063152,-0.0429,-0.069014,107160
2025-02-26 02:28:46.103367,sleep,8.212111,3.241749,-3.533842,-0.071412,0.047164,-0.044233,107423
2025-02-26 02:28:46.103367,sleep,8.307879,3.210624,-3.541024,-0.074077,-0.073277,-0.015188,107568
2025-02-26 02:28:46.103367,sleep,8.355764,3.270479,-3.70383,-0.080738,-0.220364,-0.013856,107695
2025-02-26 02:28:46.103367,sleep,8.693346,3.296816,-3.711013,-0.084735,-0.079939,-0.056757,107767
2025-02-26 02:28:46.103367,sleep,8.257602,3.296816,-3.620033,-0.078606,0.010126,-0.072211,107916
2025-02-26 02:28:46.103367,sleep,8.331821,3.265691,-3.608062,-0.077274,0.028511,-0.061819,108111
2025-02-26 02:28:46.103367,sleep,8.437167,3.354277,-3.828329,-0.092995,0.043966,-0.065283,108444
2025-02-26 02:28:46.103367,sleep,8.683769,3.325546,-3.98874,-0.13936,0.322153,-0.104453,108786
2025-02-26 02:28:46.103367,sleep,8.540117,3.205836,-3.873818,-0.187057,0.860141,-0.110848,109119
2025-02-26 02:28:46.103367,sleep,8.595184,3.428497,-3.881001,-0.245945,1.380809,-0.066349,109540
2025-02-26 02:28:46.103367,sleep,8.358158,3.351882,-3.035848,-0.268594,1.86124,-0.022916,109626
2025-02-26 02:28:46.103367,sleep,8.406042,3.361459,-2.396596,-0.23875,1.873231,0.002931,109367
2025-02-26 02:28:46.103367,sleep,8.350976,3.49314,-2.008735,-0.206242,1.463945,0.026113,108745
2025-02-26 02:28:46.103367,sleep,8.626308,3.421314,-1.735796,-0.146288,0.765547,0.042368,108141
2025-02-26 02:28:46.103367,sleep,8.772355,3.380613,-1.675941,-0.09113,0.211305,0.029044,107825
2025-02-26 02:28:46.103367,sleep,8.92319,3.315969,-1.96564,-0.051427,0.036772,0.029044,107880
2025-02-26 02:28:46.103367,sleep,8.832211,3.294421,-1.975216,-0.026646,0.025047,0.051427,107966
2025-02-26 02:28:46.103367,sleep,8.839393,3.272874,-1.956063,-0.002665,0.029311,0.081271,108092
2025-02-26 02:28:46.103367,sleep,9.107543,3.236961,-1.932121,0.021051,0.053292,0.092729,108205
2025-02-26 02:28:46.103367,sleep,9.172187,3.28245,-2.08535,0.042634,0.053559,0.065017,108060
2025-02-26 02:28:46.103367,sleep,9.155427,3.337517,-2.200271,0.035706,0.0429,0.03544,107878
2025-02-26 02:28:46.103367,sleep,9.344569,3.426103,-2.336741,0.006395,-0.063152,-0.021051,107822
2025-02-26 02:28:46.103367,sleep,8.937555,3.320758,-2.245761,-0.030643,-0.16574,-0.06475,107926
2025-02-26 02:28:46.103367,sleep,8.765172,3.229778,-2.142811,-0.030377,-0.15215,-0.029577,107983
2025-02-26 02:28:46.103367,sleep,8.961497,3.256114,-2.291251,-0.036239,-0.076741,-0.003997,108104
2025-02-26 02:28:46.103367,sleep,9.138668,3.251326,-2.212242,-0.038371,0.059155,-0.003198,108254
2025-02-26 02:28:46.103367,sleep,9.126697,3.22499,-2.173935,-0.037038,0.152417,-0.03091,108308
2025-02-26 02:28:46.103367,sleep,8.932767,3.251326,-2.087744,-0.03917,0.067415,-0.049828,108253
2025-02-26 02:28:46.103367,sleep,9.018958,3.236961,-2.035071,-0.02638,-0.078074,-0.056224,108228
